Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),THERMAL ZONE 1:Zone People Occupant Count [](Hourly),THERMAL ZONE 1:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),THERMAL ZONE 1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer Clothes Not Comfortable Time [hr](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) 
 07/01  01:00:00,15.741666666666665,0.0,0.0,0.0,20.97608765224339,26.0,0.0,0.0 
 07/01  02:00:00,14.141666666666666,0.0,0.0,0.0,20.708380294614273,26.0,0.0,0.0 
 07/01  03:00:00,14.099999999999996,0.0,0.0,0.0,20.48410066962613,26.0,0.0,0.0 
 07/01  04:00:00,14.216666666666667,0.0,0.0,0.0,20.268394497163836,26.0,0.0,0.0 
 07/01  05:00:00,14.591666666666667,4.333333333333333,10.666666666666666,0.0,20.060462275865234,26.0,0.0,0.0 
 07/01  06:00:00,15.266666666666666,29.833333333333332,60.0,0.0,19.91497426986039,26.0,0.0,0.0 
 07/01  07:00:00,15.075000000000001,69.66666666666667,70.66666666666667,0.0,19.820833175608865,26.0,0.0,0.0 
 07/01  08:00:00,15.458333333333334,126.33333333333333,79.83333333333333,0.0,19.798434155587486,26.0,0.0,0.0 
 07/01  09:00:00,16.816666666666666,162.5,136.75,0.0,19.856560351349273,21.0,0.0,0.0 
 07/01  10:00:00,18.100000000000005,200.66666666666666,173.25,0.0,19.930592820348906,21.0,0.0,0.0 
 07/01  11:00:00,19.066666666666666,256.3333333333333,224.0,0.0,20.055406865897606,21.5,0.0,0.0 
 07/01  12:00:00,19.866666666666667,268.3333333333333,344.6666666666667,3.0,20.24106103567809,21.5,0.9999999999999999,0.0 
 07/01  13:00:00,21.599999999999998,260.1666666666667,459.9166666666667,3.0,19.974315290711356,20.0,0.9999999999999999,89.24216110723474 
 07/01  14:00:00,23.066666666666663,263.25,487.0833333333333,3.0,19.9999999999743,20.0,0.9999999999999999,105.61910564573945 
 07/01  15:00:00,24.041666666666668,213.33333333333334,567.8333333333334,3.0,20.0,20.0,0.9999999999999999,124.4999617000437 
 07/01  16:00:00,24.791666666666668,144.58333333333334,653.0833333333334,3.0,20.0,20.0,0.9999999999999999,137.85837828598727 
 07/01  17:00:00,24.825,123.83333333333333,588.5,3.0,20.0,20.0,0.9999999999999999,192.74470882218068 
 07/01  18:00:00,24.583333333333332,102.0,507.5,0.0,20.0,20.0,0.0,280.3319468393602 
 07/01  19:00:00,24.5,69.0,365.4166666666667,0.0,21.313728006889207,25.0,0.0,0.0 
 07/01  20:00:00,24.266666666666666,31.33333333333334,35.83333333333333,0.0,21.773274842794635,25.0,0.0,0.0 
 07/01  21:00:00,22.933333333333337,0.0,0.0,0.0,21.582345291600788,25.0,0.0,0.0 
 07/01  22:00:00,20.7,0.0,0.0,0.0,21.445471847692644,25.0,0.0,0.0 
 07/01  23:00:00,19.116666666666667,0.0,0.0,0.0,21.320719960901553,25.0,0.0,0.0 
 07/01  24:00:00,18.233333333333334,0.0,0.0,0.0,21.18775546007993,25.0,0.0,0.0 
 07/02  01:00:00,17.783333333333335,0.0,0.0,0.0,21.03250219741489,22.0,0.0,0.0 
 07/02  02:00:00,17.349999999999998,0.0,0.0,0.0,20.85652844954102,22.0,0.0,0.0 
 07/02  03:00:00,16.925,0.0,0.0,0.0,20.658110157019024,22.0,0.0,0.0 
 07/02  04:00:00,16.683333333333337,0.0,0.0,0.0,20.449660342245224,22.0,0.0,0.0 
 07/02  05:00:00,16.541666666666668,5.5,28.499999999999996,0.0,20.24740335327617,22.0,0.0,0.0 
 07/02  06:00:00,16.325,35.916666666666664,197.58333333333334,0.0,20.13057424802674,22.0,0.0,0.0 
 07/02  07:00:00,16.841666666666665,68.33333333333333,415.0833333333333,0.0,20.050845288908693,22.0,0.0,0.0 
 07/02  08:00:00,18.525000000000002,94.58333333333333,534.75,0.0,20.088947994007285,22.0,0.0,0.0 
 07/02  09:00:00,21.441666666666666,123.5,599.5833333333334,0.0,20.247119227092544,22.0,0.0,0.0 
 07/02  10:00:00,24.416666666666668,160.08333333333334,613.1666666666666,0.0,20.482123170144675,22.0,0.0,0.0 
 07/02  11:00:00,25.03333333333333,207.66666666666666,564.9166666666666,0.0,20.73848810403062,22.0,0.0,0.0 
 07/02  12:00:00,26.041666666666668,257.0,456.5,0.0,20.98066292823929,22.0,0.0,0.0 
 07/02  13:00:00,27.233333333333334,289.5,315.1666666666667,0.0,21.25466774474671,22.0,0.0,0.0 
 07/02  14:00:00,27.925,287.0,209.41666666666666,0.0,21.50337404423634,22.0,0.0,0.0 
 07/02  15:00:00,28.53333333333333,265.25,147.08333333333334,0.0,21.741415565689923,22.0,0.0,0.0 
 07/02  16:00:00,28.641666666666666,243.75,103.58333333333333,0.0,21.948567983189793,22.0,0.0,5.376012028015921 
 07/02  17:00:00,28.191666666666666,203.0,108.08333333333333,0.0,21.99999999990843,22.0,0.0,46.1288609594809 
 07/02  18:00:00,27.316666666666666,147.5,120.5,0.0,22.0,22.0,0.0,82.50533594460154 
 07/02  19:00:00,24.625,87.58333333333333,84.83333333333333,0.0,22.0,22.0,0.0,86.10927076447977 
 07/02  20:00:00,20.025000000000002,31.416666666666668,8.249999999999998,0.0,22.0,22.0,0.0,40.18163818179263 
 07/02  21:00:00,18.016666666666666,0.0,0.0,0.0,21.942168102800565,22.0,0.0,0.0 
 07/02  22:00:00,18.099999999999998,0.0,0.0,0.0,21.812204528139514,22.0,0.0,0.0 
 07/02  23:00:00,17.983333333333334,0.0,0.0,0.0,21.68953081985075,22.0,0.0,0.0 
 07/02  24:00:00,17.958333333333332,0.0,0.0,0.0,21.54894315981146,22.0,0.0,0.0 
 07/03  01:00:00,17.59166666666667,0.0,0.0,0.0,21.376175358927373,22.0,0.0,0.0 
 07/03  02:00:00,17.125,0.0,0.0,0.0,21.177050661611222,22.0,0.0,0.0 
 07/03  03:00:00,16.766666666666666,0.0,0.0,0.0,20.970108268121063,22.0,0.0,0.0 
 07/03  04:00:00,16.366666666666667,0.0,0.0,0.0,20.752230392613388,22.0,0.0,0.0 
 07/03  05:00:00,15.908333333333333,6.666666666666667,12.666666666666666,0.0,20.544391971640803,22.0,0.0,0.0 
 07/03  06:00:00,15.525,46.666666666666664,88.83333333333333,0.0,20.41208075741802,22.0,0.0,0.0 
 07/03  07:00:00,16.100000000000005,99.33333333333333,219.58333333333334,0.0,20.36464797763185,22.0,0.0,0.0 
 07/03  08:00:00,18.0,122.66666666666667,442.0833333333333,0.0,20.4171011862291,22.0,0.0,0.0 
 07/03  09:00:00,20.983333333333334,120.41666666666667,659.75,0.0,20.562560178465255,22.0,0.0,0.0 
 07/03  10:00:00,24.03333333333333,124.75,747.0,0.0,20.7542070856977,22.0,0.0,0.0 
 07/03  11:00:00,26.191666666666666,134.41666666666666,777.3333333333334,0.0,20.98449785249147,22.0,0.0,0.0 
 07/03  12:00:00,27.425,157.33333333333334,733.0,0.0,21.227488957889726,22.0,0.0,0.0 
 07/03  13:00:00,28.208333333333332,181.33333333333334,624.0833333333334,0.0,21.458466280762853,22.0,0.0,0.0 
 07/03  14:00:00,28.849999999999998,195.25,514.25,0.0,21.686870350654377,22.0,0.0,0.0 
 07/03  15:00:00,28.224999999999998,194.75,447.4166666666667,0.0,21.909241977640416,22.0,0.0,0.0 
 07/03  16:00:00,24.099999999999998,171.5,414.9166666666667,0.0,21.99999732883246,22.0,0.0,13.855878674503593 
 07/03  17:00:00,21.71666666666667,141.08333333333334,280.9166666666667,0.0,22.0,22.0,0.0,45.64238751434289 
 07/03  18:00:00,22.5,116.5,120.66666666666667,0.0,22.0,22.0,0.0,76.25682409345269 
 07/03  19:00:00,22.883333333333336,82.33333333333333,74.25,0.0,22.0,22.0,0.0,97.93872134763139 
 07/03  20:00:00,23.325,33.25,7.249999999999997,0.0,22.0,22.0,0.0,83.20324662323902 
 07/03  21:00:00,22.650000000000002,0.0,0.0,0.0,22.0,22.0,0.0,37.714288541714055 
 07/03  22:00:00,21.60833333333333,0.0,0.0,0.0,22.0,22.0,0.0,10.237810177809719 
 07/03  23:00:00,21.283333333333335,0.0,0.0,0.0,21.964713782368847,22.0,0.0,0.0 
 07/03  24:00:00,21.375,0.0,0.0,0.0,21.85708333091665,22.0,0.0,0.0 
