Time,sensor-readings.reading_A,sensor-readings.reading_B,diff
2022-08-01 07:38:45,6,2,4
2022-08-01 08:08:46,8,5,3
2022-08-01 08:24:46,10,6,4
2022-08-01 08:38:46,12,7,5
2022-08-01 08:54:46,13,11,2
2022-08-01 09:08:46,14,12,2
2022-08-01 09:24:47,22,18,4
2022-08-01 10:38:48,29,25,4
2022-08-01 10:54:48,34,26,8
2022-08-01 11:08:48,38,32,6
2022-08-01 11:54:49,41,35,6
2022-08-01 12:12:16,42,37,5
2022-08-01 12:24:16,44,38,6
2022-08-01 12:40:16,46,41,5
2022-08-01 13:54:21,53,50,3
2022-08-01 14:18:31,56,50,6
2022-08-01 14:40:20,57,51,6
2022-08-01 19:27:58,57,54,3
2022-08-02 07:54:37,1,1,0
2022-08-02 08:10:36,4,3,1
2022-08-02 09:10:37,10,5,5
2022-08-02 09:26:38,12,7,5
2022-08-02 09:40:38,15,8,7
2022-08-02 10:10:38,16,11,5
2022-08-02 10:24:39,23,15,8
2022-08-02 10:40:39,24,17,7
2022-08-02 11:26:39,27,20,7
2022-08-02 11:54:40,30,24,6
2022-08-02 12:24:41,34,30,4
2022-08-02 12:40:41,36,32,4
2022-08-02 12:54:41,38,33,5
2022-08-02 13:10:42,41,35,6
2022-08-02 13:24:42,42,36,6
2022-08-02 13:40:42,43,37,6
2022-08-02 14:10:43,44,40,4
2022-08-02 14:24:44,47,41,6
2022-08-02 14:54:43,49,45,4
2022-08-03 05:54:57,1,1,0
2022-08-03 07:08:58,3,3,0
2022-08-03 07:54:59,11,10,1
2022-08-03 08:08:59,17,15,2
2022-08-03 08:55:00,26,24,2
2022-08-03 09:39:01,31,28,3
2022-08-03 10:29:02,33,30,3
2022-08-03 11:09:02,41,36,5
2022-08-03 11:25:03,43,44,-1
2022-08-03 11:55:03,45,46,-1
2022-08-03 12:25:03,49,50,-1
2022-08-03 12:55:04,51,53,-2
2022-08-03 18:27:36,51,54,-3
2022-08-04 07:11:22,1,1,0
2022-08-04 07:39:22,5,5,0
2022-08-04 07:55:21,7,6,1
2022-08-04 08:55:23,11,8,3
2022-08-04 09:09:23,14,10,4
2022-08-04 09:25:22,15,12,3
2022-08-04 09:39:23,19,14,5
2022-08-04 09:55:23,20,18,2
2022-08-04 10:27:23,23,21,2
2022-08-04 10:39:23,29,24,5
2022-08-04 11:11:24,32,31,1
2022-08-04 12:09:25,41,36,5
2022-08-04 12:31:25,43,39,4
2022-08-04 12:55:25,51,46,5
2022-08-04 13:41:27,55,52,3
2022-08-04 14:09:28,61,58,3
2022-08-04 14:27:27,63,61,2
2022-08-04 14:55:28,64,63,1
2022-08-04 15:11:28,65,64,1
2022-08-04 16:15:29,67,67,0
2022-08-04 16:25:29,70,68,2
2022-08-05 07:53:44,7,5,2
2022-08-05 08:11:44,8,8,0
2022-08-05 08:23:46,10,11,-1
2022-08-05 08:53:45,16,17,-1
2022-08-05 09:09:45,19,19,0
2022-08-05 10:09:46,22,20,2
2022-08-05 11:23:47,25,22,3
2022-08-05 12:25:48,27,24,3
2022-08-05 12:39:48,37,30,7
2022-08-05 12:53:49,38,32,6
2022-08-05 13:11:49,41,36,5
2022-08-05 13:53:50,42,40,2
2022-08-08 06:55:14,1,1,0
2022-08-08 08:09:15,6,4,2
2022-08-08 08:25:15,8,6,2
2022-08-08 09:39:17,9,11,-2
2022-08-08 10:27:19,11,13,-2
2022-08-08 10:55:20,16,20,-4
2022-08-08 12:09:22,22,23,-1
2022-08-08 12:25:22,25,26,-1
2022-08-08 12:55:23,28,29,-1
2022-08-08 13:09:24,30,31,-1
2022-08-08 13:25:25,31,33,-2
2022-08-08 13:55:25,33,34,-1
2022-08-08 14:09:25,34,35,-1
2022-08-08 14:55:26,35,37,-2
2022-08-08 15:41:28,37,38,-1
2022-08-09 05:39:55,1,1,0
2022-08-09 07:53:59,6,5,1
2022-08-09 09:54:02,14,13,1
2022-08-09 10:10:02,22,18,4
2022-08-09 10:54:03,26,26,0
2022-08-09 11:24:05,33,30,3
2022-08-09 11:40:05,35,33,2
2022-08-09 11:54:05,39,36,3
2022-08-09 12:10:05,43,38,5
2022-08-09 12:40:07,45,41,4
2022-08-09 12:54:06,46,42,4
2022-08-09 13:40:08,50,45,5
2022-08-09 14:10:10,51,46,5
2022-08-09 14:24:10,53,52,1
2022-08-09 14:54:11,55,53,2
2022-08-09 15:10:12,56,54,2
2022-08-09 16:10:13,57,56,1
2022-08-10 07:38:40,5,2,3
2022-08-10 08:08:41,6,3,3
2022-08-10 08:38:42,7,4,3
2022-08-10 09:08:43,8,5,3
2022-08-10 09:38:23,8,5,3
2022-08-10 09:54:44,12,7,5
2022-08-10 10:08:46,13,8,5
2022-08-10 10:24:45,14,13,1
2022-08-10 10:38:45,17,14,3
2022-08-10 11:10:46,26,21,5
2022-08-10 11:40:47,27,22,5
2022-08-10 11:56:48,30,23,7
2022-08-10 13:08:51,32,28,4
2022-08-10 13:38:51,38,32,6
2022-08-10 14:26:52,41,36,5
2022-08-10 19:10:59,41,37,4
2022-08-10 19:45:21,41,37,4
2022-08-11 07:55:23,1,1,0
2022-08-11 08:39:24,5,3,2
2022-08-11 08:55:25,7,4,3
2022-08-11 09:09:26,8,5,3
2022-08-11 09:39:26,9,7,2
2022-08-11 10:39:28,15,15,0
2022-08-11 11:09:29,18,19,-1
2022-08-11 12:11:30,23,22,1
2022-08-11 13:39:34,25,26,-1
2022-08-11 14:23:34,26,27,-1
2022-08-11 14:41:35,27,28,-1
2022-08-11 15:39:37,28,31,-3
2022-08-12 07:54:05,1,1,0
2022-08-12 08:54:07,5,4,1
2022-08-12 09:24:08,8,8,0
2022-08-12 10:10:10,15,12,3
2022-08-12 11:26:10,26,24,2
2022-08-12 11:54:12,29,26,3
2022-08-12 12:40:13,32,29,3
2022-08-12 13:24:14,36,33,3
2022-08-14 16:23:44,4,4,0
2022-08-14 16:39:44,8,6,2
2022-08-15 12:24:19,1,1,0
2022-08-15 18:38:30,2,2,0
2022-08-16 07:24:51,6,1,5
2022-08-16 07:40:52,9,2,7
2022-08-16 08:54:55,11,4,7
2022-08-16 09:08:56,16,7,9
2022-08-16 09:24:56,19,9,10
2022-08-16 09:38:56,20,15,5
2022-08-16 10:08:58,26,21,5
2022-08-16 10:38:59,36,31,5
2022-08-16 10:54:58,40,36,4
2022-08-16 11:25:00,47,43,4
2022-08-16 11:40:59,49,45,4
2022-08-16 12:09:01,51,49,2
2022-08-16 12:25:01,52,50,2
2022-08-16 12:55:02,59,57,2
2022-08-16 13:11:02,60,58,2
2022-08-16 13:25:04,61,59,2
2022-08-16 13:39:03,65,61,4
2022-08-16 14:09:04,69,63,6
