"Time","sensor-readings.reading"
1648766193000,22
1648766778000,22.2
1648788384000,22.4
1648794388000,22.6
1648795002000,22.4
1648795557000,22.6
1648810006000,22.4
1648810619000,22.6
1648813590000,22.4
1648814191000,22.6
1648814750000,22.4
1648818985000,22.6
1648819592000,22.4
1648821392000,22.6
1648822037000,22.4
1648822563000,22.6
1648823163000,22.4
1648824364000,22.6
1648833380000,22.8
1648833985000,22.6
1648835183000,22.8
1648836966000,22.6
1648842969000,22.4
1648847754000,22.6
1648848386000,22.4
1648848985000,22.6
1648849556000,22.4
1648856159000,22.6
1648856759000,22.4
1648865812000,22.6
1648866383000,22.4
1648868226000,22.6
1648868752000,22.4
1648871752000,22.6
1648872353000,22.4
1648880187000,22.6
1648880786000,22.4
1648882586000,22.6
1648883172000,22.4
1648884987000,22.6
1648886173000,22.4
1648886788000,22.6
1648887373000,22.4
1648888559000,22.6
1648891590000,22.4
1648892212000,22.6
1648892760000,22.4
1648894561000,22.6
1648895146000,22.4
1648895748000,22.6
1648896361000,22.4
1648898162000,22.6
1648899980000,22.4
1648901752000,22.6
1648913155000,22.4
1648913785000,22.6
1648916756000,22.4
1648917957000,22.6
1648919744000,22.4
1648920990000,22.6
1648923376000,22.4
1648926977000,22.6
1648927547000,22.4
1648941354000,22.2
1648942002000,22.4
1648943749000,22.2
1648944355000,22.4
1648949143000,22.2
1648949744000,22.4
1648952775000,22.2
1648954548000,22.4
1648964771000,22.2
1648965378000,22.4
1648981564000,22.6
1648982150000,22.4
1648994144000,22.2
1648994749000,22.4
1648997192000,22.2
1648997750000,22.4
1648999555000,22.2
1649000154000,22.4
1649001946000,22.2
1649002577000,22.4
1649004354000,22.2
1649004956000,22.4
1649015753000,22.2
1649016389000,22.4
1649019372000,22.2
1649019942000,22.4
1649020574000,22.2
1649021180000,22.4
1649029547000,22.2
1649030147000,22.4
1649030747000,22.2
1649031978000,22.4
1649034344000,22.2
1649034943000,22.4
1649035547000,22.2
1649038549000,22.4
1649039751000,22.2
1649042739000,22.4
1649045139000,22.6
1649054741000,22.8
1649055334000,22.6
1649057139000,22.8
1649057738000,22.6
1649058353000,22.8
1649063774000,22.6
1649068538000,22.8
1649071574000,22.6
1649072141000,22.8
1649075401000,23
1649078390000,22.8
1649079592000,22.4
1649080210000,22.6
1649080780000,22.8
1649085001000,22.6
1649087385000,22.8
1649098196000,22.6
1649105985000,22.4
1649107206000,22.6
1649108375000,22.4
1649110211000,22.6
1649110784000,22.4
1649111402000,22.6
1649111987000,22.4
1649114385000,22.6
1649114976000,22.4
1649133581000,22.6
1649138997000,22.8
1649140222000,22.6
1649143774000,22.4
1649147377000,22.6
1649149780000,22.4
1649151595000,22.6
1649157581000,22.8
1649158212000,23
1649159367000,22.6
1649159967000,22.4
1649160598000,21.8
1649161167000,20.8
1649161770000,20.4
1649162400000,21.2
1649162971000,21.4
1649163570000,21.8
1649164801000,22
1649165371000,22.2
1649169574000,22
1649171974000,21.8
1649173774000,21.6
1649177983000,21.4
1649179791000,21.6
1649180983000,21.8
1649182775000,22
1649184567000,21.8
1649189407000,22
1649190013000,21.8
1649191190000,22
1649191778000,21.8
1649194176000,22
1649195371000,21.8
1649195973000,22
1649206805000,22.2
1649207369000,22
1649208611000,22.2
1649209778000,22
1649210364000,22.2
1649210987000,22
1649212807000,22.2
1649213976000,22
1649214576000,22.2
1649216380000,22
1649217006000,22.2
1649221822000,22.4
1649229580000,22.6
1649230201000,22.4
1649240405000,22.2
1649243368000,22
1649246992000,21.8
1649249979000,21.6
1649255992000,21.4
1649259564000,21.2
1649260166000,21.4
1649263178000,21.2
1649269809000,21
1649281164000,20.8
1649288970000,20.6
1649289575000,20.8
1649290159000,20.6
1649290764000,20.8
1649291379000,20.6
1649296206000,20.8
1649297364000,21
1649299796000,21.2
1649303369000,21.4
1649306971000,21.6
1649308206000,21.8
1649308812000,21.6
1649309372000,21.8
1649314757000,22
1649316009000,22.2
1649320174000,22.4
1649321370000,22.2
1649322561000,22
1649324997000,21.8
1649327372000,21.6
1649331577000,21.4
1649335794000,21.2
1649336368000,21.4
1649337578000,21.2
1649342371000,21
1649351983000,20.8
1649353760000,21
1649354961000,20.8
1649365768000,20.6
1649374765000,20.4
1649375398000,20.6
1649375995000,20.4
1649377209000,20.6
1649378403000,20.4
1649390357000,20.6
1649392204000,20.8
1649393369000,21
1649397557000,21.2
1649398787000,21.4
1649399364000,21.2
1649399962000,21.4
1649404795000,21.2
1649407786000,21.4
1649411361000,21.2
1649412003000,21.4
1649413190000,21.2
1649415597000,21
1649417957000,20.8
1649418551000,21
1649419758000,20.8
1649420360000,21
1649420957000,20.8
1649423963000,21
1649424550000,20.8
1649430559000,20.6
1649433561000,20.8
1649434162000,20.6
1649440173000,20.4
1649440749000,20.6
1649443218000,20.4
1649455750000,20.2
1649456350000,20.4
1649456953000,20.2
1649457551000,20.4
1649458154000,20.2
1649458794000,20.4
1649459352000,20.2
1649460586000,20.4
1649461191000,20.2
1649469556000,20
1649470146000,20.2
1649470787000,20
1649471960000,20.2
1649473750000,20
1649476169000,20.2
1649476756000,20.4
1649479148000,20.6
1649482152000,20.8
1649482763000,20.6
1649483357000,20.8
1649489988000,21
1649494171000,21.2
1649508550000,21
1649510949000,21.2
1649511587000,21
1649512145000,21.2
1649515755000,21
1649516352000,21.2
1649516975000,21
1649518158000,21.2
1649518751000,21
1649520566000,21.2
1649534358000,21.4
1649552387000,21.6
1649553008000,21.4
1649554163000,21.6
1649554751000,21.4
1649555368000,21.6
1649558980000,21.4
1649559552000,21.6
1649561352000,21.4
1649561946000,21.6
1649564383000,21.4
1649564967000,21.6
1649585388000,21.4
1649585944000,21.6
1649586574000,21.4
1649587174000,21.6
1649588374000,21.4
1649594377000,21.2
1649594992000,21.4
1649596148000,21.2
1649598579000,21.4
1649599178000,21.2
1649608754000,21.4
1649609353000,21.2
1649609983000,21.4
1649611154000,21.2
1649611830000,21.4
1649615940000,21.6
1649616555000,21.4
1649618940000,21.6
1649634560000,21.8
1649635144000,21.6
1649636345000,21.8
1649636944000,21.6
1649637573000,21.8
1649638744000,21.6
1649639345000,21.8
1649640537000,21.6
1649641177000,21.8
1649642402000,21.6
1649642960000,21.8
1649643545000,21.6
1649644147000,21.8
1649645945000,21.6
1649646560000,21.8
1649650778000,22
1649654378000,22.2
1649654947000,22
1649657348000,22.2
1649657978000,22
1649658537000,22.2
1649660964000,22
1649661564000,22.2
1649665769000,22.4
1649666348000,22.2
1649670580000,22
1649673567000,22.2
1649680768000,22
1649685542000,21.8
1649686179000,22
1649686741000,21.8
1649689759000,21.6
1649690377000,21.4
1649693345000,21.2
1649696334000,21
1649700534000,21.2
1649702350000,21.4
1649702931000,21.2
1649704178000,21.4
1649710180000,21.6
1649719144000,21.8
1649735934000,22
1649736564000,21.8
1649737764000,22
1649740153000,22.2
1649746775000,22.4
1649749138000,22.2
1649750339000,22.4
1649750937000,22.2
1649754534000,22.4
1649756371000,22.2
1649758774000,22.4
1649759928000,22.2
1649761129000,22.4
1649762975000,22.2
1649764775000,22
1649768928000,21.8
1649771333000,21.6
1649773133000,21.4
1649773796000,21.6
1649774950000,21.4
1649783371000,21.2
1649787563000,21
1649794796000,20.8
1649801933000,20.6
1649802532000,20.8
1649803193000,20.6
1649804934000,20.8
1649805565000,20.6
1649811528000,20.8
1649812140000,21
1649813956000,21.2
1649818128000,21.4
1649822928000,21.6
1649825327000,21.8
1649825974000,21.6
1649827131000,21.8
1649828326000,22
1649829531000,21.8
1649830746000,22
1649832527000,21.8
1649836134000,21.6
1649836765000,21.8
1649838536000,21.6
1649841521000,21.8
1649842132000,21.6
1649846924000,21.4
1649848727000,21.6
1649849340000,21.4
1649852973000,21.4
1649854455000,21.4
1649854992000,21.4
1649856602000,21.6
1649857144000,21.4
1649863156000,21.2
1649870348000,21
1649872725000,20.8
1649873322000,21
1649875150000,20.8
1649882927000,20.6
1649890127000,20.4
1649890769000,20.6
1649893122000,20.4
1649901525000,20.2
1649908750000,20.4
1649909324000,20.6
1649909926000,20.8
1649911729000,21
1649912929000,21.2
1649917728000,21.4
1649920760000,21.2
1649921331000,20.4
1649921937000,20.6
1649922528000,21
1649923732000,21.2
1649924339000,21.4
1649926726000,21.6
1649927944000,21.4
1649932161000,21.2
1649932730000,21.4
1649933916000,21.2
1649934532000,21.4
1649936919000,21.6
1649937534000,21.4
1649938735000,21.6
1649950151000,21.4
1649953742000,21.2
1649954959000,21
1649962131000,20.8
1649969920000,20.6
1649978954000,20.4
1649991557000,20.2
1649992130000,20.4
1649993322000,20.2
1649996922000,20.4
1649997541000,20.2
1650007124000,20.4
1650010113000,20.6
1650014968000,20.8
1650019128000,20.6
1650020343000,20.8
1650020929000,20.6
1650021559000,20.8
1650026358000,20.6
1650026929000,20.8
1650028121000,20.6
1650028722000,20.8
1650029958000,20.6
1650030543000,20.8
1650033558000,20.6
1650038347000,20.4
1650038919000,20.6
1650040111000,20.4
1650046116000,20.2
1650047332000,20.4
1650047918000,20.2
1650049718000,20.4
1650050321000,20.2
1650062359000,20
1650065958000,20.2
1650066534000,20
1650079115000,19.8
1650080913000,20
1650082146000,20.2
1650084516000,20.4
1650088120000,20.6
1650088719000,20.4
1650090520000,20.6
1650091151000,20.4
1650105506000,20.2
1650114521000,20
1650115712000,20.2
1650116314000,20
1650116974000,20.2
1650117514000,20
1650130150000,19.8
1650132510000,20
1650133742000,20.2
1650136711000,20.4
1650137915000,20.6
1650145120000,20.8
1650150509000,21
1650153518000,20.8
1650154103000,21
1650161906000,21.2
1650162511000,21
1650166111000,21.2
1650179308000,21.4
1650181105000,21.2
1650181705000,21.4
1650185320000,21.2
1650186537000,21.4
1650187116000,21.2
1650193119000,21
1650194309000,21.2
1650194927000,21
1650199712000,20.8
1650207561000,20.6
1650211099000,20.4
1650215300000,20.2
1650220746000,20.4
1650223131000,20.6
1650227317000,20.8
1650234518000,21
1650239905000,21.2
1650241210000,21
1650241735000,21.2
1650247136000,21.4
1650248906000,21.2
1650250738000,21.4
1650251347000,21.2
1650253736000,21.4
1650273505000,21.2
1650274125000,21.4
1650275925000,21.2
1650277710000,21.4
1650279511000,21.2
1650283127000,21
1650283760000,21.2
1650284359000,21
1650284927000,21.2
1650285540000,21
1650287312000,21.2
1650287912000,21
1650289143000,21.2
1650289743000,21
1650308333000,21.2
1650309503000,21
1650310741000,21.2
1650311303000,21
1650311942000,21.2
1650322706000,21.4
1650335909000,21.6
1650337094000,21.4
1650337724000,21.6
1650344326000,21.8
1650346139000,22
1650352698000,22.2
1650353297000,22
1650353897000,22.2
1650356944000,22
1650358697000,22.2
1650367100000,22.4
1650370701000,22.6
1650375500000,22.8
1650376100000,22.6
1650382725000,22.4
1650387518000,22.6
1650394720000,22.4
1650397121000,22.2
1650397734000,22.4
1650398320000,22.2
1650398921000,22.4
1650399535000,22.2
1650405507000,22.4
1650406129000,22.2
1650407289000,22.4
1650408523000,22.2
1650428912000,22.4
1650433137000,22.6
1650434928000,21.8
1650435527000,22
1650436098000,22.2
1650438494000,22.6
1650440340000,22.8
1650440894000,22.2
1650441499000,22.4
1650442790000,22.6
1650444500000,22.8
1650445724000,22.6
1650448101000,22.8
1650452916000,22.6
1650453533000,22.8
1650454102000,22.6
1650464907000,22.4
1650466682000,22.2
1650468519000,22
1650469150000,22.2
1650478705000,22.4
1650479320000,22.2
1650481121000,22
1650481721000,22.2
1650482290000,22
1650483521000,22.2
1650498510000,22.4
1650499729000,22.2
1650500293000,22.4
1650500955000,22.2
1650502725000,22.4
1650505756000,22.2
1650507496000,22.4
1650510531000,22.2
1650511697000,22.4
1650514096000,22.2
1650514731000,22.4
1650516499000,22.6
1650521298000,22.8
1650521928000,22.6
1650532209000,22.8
1650537487000,22.6
1650538086000,22.8
1650540487000,22.6
1650541719000,22.4
1650546504000,22.2
1650554322000,22
1650555491000,21.8
1650558491000,21.6
1650559095000,21.8
1650559691000,21.6
1650563309000,21.4
1650569278000,21.2
1650578295000,21
1650578895000,21.2
1650579480000,21
1650589678000,20.8
1650599900000,21
1650601675000,21.2
1650603527000,21.4
1650604741000,21.6
1650608901000,21.8
1650612481000,22
1650613086000,21.8
1650613673000,22
1650619120000,22.2
1650623888000,22.4
1650625090000,22.2
1650625690000,22.4
1650626891000,22.2
1650627505000,22.4
1650656880000,22.2
1650698889000,22
1650699473000,22.2
1650700085000,22
1650701274000,22.2
1650702474000,22
1650704273000,22.2
1650704892000,22
1650716877000,21.8
1650717474000,22
1650721079000,21.8
1650728866000,21.6
1650730082000,21.8
1650730728000,21.6
1650731922000,21.8
1650732483000,21.6
1650745718000,21.8
1650759518000,22
1650760070000,21.8
1650763072000,22
1650764288000,21.8
1650764867000,22
1650765479000,21.8
1650767922000,22
1650769119000,21.8
1650770305000,22
1650770919000,21.8
1650776891000,22
1650777493000,21.8
1650788291000,21.6
1650796110000,21.4
1650801466000,21.2
1650802697000,21.4
1650803877000,21.2
1650814083000,21
1650815883000,21.2
1650816478000,21
1650824286000,20.8
1650836318000,20.6
1650846473000,20.4
1650851291000,20.6
1650851859000,20.8
1650853662000,21
1650856125000,21.2
1650858475000,21.4
1650860863000,21.6
1650865708000,21.8
1650866260000,21.6
1650867525000,21.8
1650871111000,21.6
1650872296000,21
1650872926000,21.2
1650873495000,21.4
1650875263000,21.6
1650877656000,21.8
1650878860000,21.6
1650882461000,21.4
1650883114000,21.6
1650883727000,21.4
1650885498000,21.6
1650898070000,21.4
1650902301000,21.2
1650905331000,21
1650912458000,20.8
1650917904000,20.6
1650918487000,20.8
1650919719000,20.6
1650932891000,20.4
1650934082000,20.6
1650934712000,20.4
1650935263000,20.6
1650935895000,20.4
1650938293000,20.6
1650938866000,20.4
1650946096000,20.6
1650947263000,20.8
1650949119000,21
1650951477000,21.2
1650958083000,21.4
1650960466000,21.6
1650965869000,21.8
1650967714000,21.6
1650968853000,21.8
1650974271000,21.6
1650977249000,21.8
1650980271000,21.6
1650982073000,21.4
1650984473000,21.2
1650986275000,21
1650991057000,20.8
1650997062000,20.6
1651004891000,20.4
1651006092000,20.6
1651007912000,20.4
1651009715000,20.6
1651010316000,20.8
1651012049000,21
1651012678000,20.8
1651014503000,21
1651016263000,21.2
1651022264000,21.4
1651033653000,21.6
1651036052000,21.8
1651043301000,22
1651044516000,21.4
1651045654000,21.6
1651046869000,21.8
1651048051000,22
1651051055000,22.2
1651062456000,22
1651063090000,22.2
1651065444000,21.4
1651066045000,21.8
1651066671000,22
1651068476000,22.2
1651069680000,22
1651070319000,22.2
1651073862000,22
1651075061000,22.2
1651080476000,22
1651087683000,21.8
1651099652000,22
1651100283000,21.8
1651100883000,22
1651101451000,21.8
1651102700000,22
1651103853000,21.8
1651105054000,22
1651121242000,22.2
1651124841000,22.4
1651126063000,22.2
1651126686000,21.4
1651127842000,21.6
1651128520000,21.8
1651129043000,22
1651130858000,21.8
1651131442000,21.4
1651132673000,21.2
1651134459000,21
1651135060000,21.2
1651136876000,21
1651141647000,21.2
1651142260000,21.4
1651148308000,21.6
1651148877000,21.4
1651150095000,21.6
1651150646000,21.4
1651151246000,21.6
1651153074000,21.4
1651153648000,21.6
1651156678000,21.4
1651157850000,21.2
1651158464000,21.4
1651159111000,21.2
1651163248000,21
1651165077000,21.2
1651166280000,21
1651171651000,20.8
1651182484000,20.6
1651192087000,20.8
1651193857000,21
1651195116000,21.2
1651202245000,21.4
1651207089000,21.6
1651210715000,21.8
1651214847000,21.6
1651216645000,21.8
1651223245000,21.6
1651224481000,21.8
1651229862000,21.6
1651230462000,21.4
1651233479000,21.2
1651236448000,21
1651251468000,20.8
1651252066000,21
1651252652000,20.8
1651264687000,20.6
1651275470000,20.4
1651276059000,20.6
1651276643000,20.4
1651288058000,20.2
1651288639000,20.4
1651289276000,20.6
1651290464000,20.8
1651293464000,21
1651296475000,21.2
1651298273000,21
1651299463000,21.2
1651300047000,21
1651300633000,21.2
1651301846000,21
1651307249000,20.8
1651307847000,21
1651308474000,20.8
1651328872000,20.6
1651329471000,20.8
1651336044000,20.6
1651336673000,20.8
1651337231000,20.6
1651346844000,20.4
1651349276000,20.6
1651349859000,20.4
1651363034000,20.2
1651365481000,20.4
1651366056000,20.2
1651373838000,20
1651374468000,20.2
1651378100000,20.4
1651380454000,20.6
1651406229000,20.4
1651406906000,20.6
1651407470000,20.4
1651420634000,20.2
1651433254000,20
1651450028000,19.8
1651450667000,20
1651452466000,19.8
1651454859000,20
1651455445000,19.8
1651464462000,20.2
1651465665000,20.4
1651468632000,20.6
1651469833000,20.4
1651470432000,20.6
1651474664000,20.8
1651475830000,21
1651478266000,21.2
1651485425000,21
1651489640000,21.2
1651492642000,21.4
1651493242000,21.2
1651504057000,21.4
1651505226000,21.2
1651506459000,20.2
1651507661000,20.4
1651508828000,20.6
1651512477000,20.4
1651517234000,20.2
1651521428000,20.4
1651523259000,20.6
1651529832000,20.8
1651530525000,20.6
1651532235000,20.8
1651539465000,21
1651540037000,20.8
1651542428000,21
1651550841000,21.2
1651551428000,21
1651553273000,21.2
1651553829000,21.4
1651558626000,21.2
1651559243000,21.4
1651560457000,21.2
1651563428000,21
1651565242000,21.2
1651572525000,0
1651572590000,21.2
1651573025000,21.4
1651577231000,21.6
1651577827000,21.4
1651578464000,21.6
1651580164000,0
1651580229000,21.6
1651581456000,21.4
1651583275000,21.6
1651586257000,21.8
1651586858000,21.6
1651588622000,21.4
1651589235000,21.6
1651591071000,21.4
1651596458000,21.2
1651598860000,21
1651604238000,20.8
1651604848000,21
1651605418000,20.8
1651610831000,20.6
1651611434000,20.8
1651612648000,20.6
1651622900000,20.4
1651623437000,20.6
1651624067000,20.4
1651624657000,20.6
1651627024000,20.4
1651637219000,20.6
1651640220000,20.8
1651642042000,21
1651645026000,20.8
1651645660000,21
1651646245000,21.2
1651646830000,21
1651647421000,21.2
1651649231000,21
1651652246000,21.2
1651655829000,21.4
1651657029000,21.6
1651666640000,21.4
1651667230000,21.6
1651668436000,21.4
1651669068000,21.6
1651670850000,21.4
1651675051000,21.2
1651679856000,21
1651680498000,21.2
1651681112000,21
1651684624000,20.8
1651685270000,21
1651687024000,20.8
1651694229000,20.6
1651694842000,20.8
1651697241000,20.6
1651697849000,20.8
1651698464000,20.6
1651699627000,20.8
1651700230000,20.6
1651715216000,20.4
1651717615000,20.6
1651718895000,20.4
1651720630000,20.6
1651721230000,20.4
1651723675000,20.6
1651725475000,20.8
1651726676000,21
1651727258000,20.8
1651728448000,21
1651731435000,19.2
1651732017000,19
1651732622000,19.4
1651733222000,19.8
1651733818000,20
1651734414000,20.2
1651735626000,20.4
1651737414000,20.6
1651741062000,20.8
1651741617000,21
1651742865000,20.8
1651744034000,21
1651747638000,21.2
1651748225000,21
1651748825000,21.2
1651750033000,21.4
1651752435000,21.6
1651755484000,21.4
1651755570000,21.4
1651758473000,21.6
1651761421000,21.4
1651762635000,21.2
1651766848000,21
1651768050000,21.2
1651769237000,21
1651775861000,20.8
1651776474000,21
1651777055000,20.8
1651777714000,21
1651779452000,20.8
1651790273000,20.6
1651790842000,20.8
1651792673000,20.6
1651813063000,20.4
1651814652000,20.4
1651815434000,20.6
1651816643000,20.4
1651818435000,20.6
1651819094000,20.4
1651820852000,20.6
1651825651000,20.8
1651832238000,21
1651836469000,21.2
1651840651000,21
1651841265000,21.2
1651843031000,21
1651850838000,20.8
1651851432000,21
1651853273000,20.8
1651858688000,20.6
1651860449000,20.8
1651862254000,20.6
1651868246000,20.4
1651868868000,20.6
1651869486000,20.4
1651873663000,20.6
1651874289000,20.4
1651883946000,20.2
1651884474000,20.4
1651886253000,20.2
1651886871000,20.4
1651891517000,0
1651891567000,20.2
1651905430000,20
1651906628000,20.2
1651907243000,20
1651910232000,20.2
1651911423000,20
1651914450000,20.2
1651915062000,20
1651939638000,19.8
1651940820000,20
1651942020000,19.8
1651943266000,20
1651943828000,19.8
1651966027000,19.6
1651969029000,19.8
1651970227000,19.6
1651973268000,19.8
1651973814000,19.6
1651982277000,19.4
1651982849000,19.6
1651987036000,19.4
1651987617000,19.6
1651988214000,19.4
1651988819000,19.6
1651989448000,19.4
1651991236000,19.6
1651991819000,19.4
1651996069000,19.6
1651996637000,19.4
1651997255000,19.6
1651998449000,19.4
1651999022000,19.6
1652014626000,19.8
1652015813000,19.6
1652016442000,19.8
1652017012000,19.6
1652020616000,19.8
1652021271000,19.6
1652030211000,19.4
1652030844000,19.6
1652033216000,19.4
1652033812000,19.6
1652035022000,19.4
1652056666000,19.2
1652057224000,19.4
1652058423000,19.2
1652060220000,19.4
1652060822000,19.2
1652062042000,19.4
1652062610000,19.2
1652065612000,19.4
1652066210000,19.2
1652078245000,19
1652079434000,19.2
1652081218000,19.4
1652083011000,19.6
1652084215000,19.8
1652088448000,20
1652090264000,20.2
1652092020000,20
1652096226000,20.2
1652105252000,20.4
1652105831000,20.2
1652106453000,20.4
1652107615000,20.6
1652108821000,20.4
1652110622000,20.6
1652111823000,20.4
1652114261000,20.2
1652116014000,20
1652116647000,20.2
1652117253000,20
1652121440000,19.8
1652122025000,20
