"Time","sensor-readings.reading"
1648768026000,7.5
1648768386000,7.8
1648769376000,7.5
1648770786000,7.8
1648772586000,7.5
1648773156000,7.8
1648773486000,7.5
1648773696000,7.8
1648774776000,7.5
1648776306000,7.8
1648777371000,7.5
1648780041000,7.8
1648780506000,7.5
1648780596000,7.1
1648780746000,6.7
1648781106000,6.3
1648783281000,6.7
1648783581000,7.1
1648783671000,7.5
1648783746000,7.8
1648784721000,7.5
1648785576000,7.8
1648786926000,7.5
1648787931000,7.1
1648788936000,6.7
1648789431000,7.1
1648789761000,7.5
1648789836000,7.8
1648791126000,8.2
1648791411000,8.6
1648791711000,8.2
1648792041000,8.6
1648793091000,8.2
1648793916000,8.6
1648794471000,8.2
1648795626000,8.6
1648796106000,9.2
1648797291000,9.6
1648797486000,9.2
1648797546000,8.9
1648797756000,8.2
1648798551000,8.6
1648798986000,9.2
1648799361000,8.9
1648800486000,9.2
1648800651000,8.9
1648801896000,9.2
1648802421000,9.6
1648802661000,10
1648802991000,9.6
1648803141000,10
1648803216000,10.3
1648803516000,10.6
1648803786000,11
1648803966000,11.3
1648804072000,11
1648804221000,10.6
1648804851000,11
1648805091000,11.3
1648805226000,11.6
1648805601000,11.3
1648806171000,11
1648806261000,10.6
1648806441000,11
1648806831000,11.3
1648807041000,11.6
1648807806000,12
1648807866000,12.3
1648807926000,12.6
1648808106000,12.3
1648808196000,12
1648808946000,11.6
1648809276000,11.3
1648809321000,11
1648809621000,10.6
1648809846000,11
1648809936000,11.3
1648810236000,11
1648810552000,10.6
1648811046000,10.3
1648811361000,10.6
1648811931000,10.3
1648812186000,10.6
1648812981000,10.3
1648813417000,10.6
1648813821000,11
1648814016000,10.6
1648814406000,10.3
1648815216000,10
1648816401000,10.3
1648816777000,10
1648818172000,10.3
1648818321000,10.6
1648818652000,10.3
1648819071000,10.6
1648819296000,10.3
1648819926000,10
1648820077000,10.3
1648820706000,10
1648822116000,9.6
1648822431000,9.3
1648822521000,9
1648822656000,8.6
1648822896000,8.2
1648823481000,7.5
1648823887000,7.1
1648824862000,6.7
1648825956000,6.3
1648826886000,6
1648831896000,5.6
1648832781000,5.2
1648835271000,4.8
1648835857000,4.5
1648841271000,4.8
1648841661000,4.5
1648842277000,4.1
1648842997000,4.5
1648843146000,4.8
1648843326000,5.2
