dt,feels_like,temp,temp_min,temp_max
2024-12-12 12:00:00,2.95,2.95,2.95,2.95
2024-12-12 13:00:00,3.53,3.53,3.53,3.53
2024-12-12 14:00:00,3.68,3.68,3.68,3.68
2024-12-12 15:00:00,2.78,2.78,2.78,2.78
2024-12-12 16:00:00,2.22,2.22,2.22,2.22
2024-12-12 17:00:00,1.94,1.94,1.94,1.94
2024-12-12 18:00:00,1.73,1.73,1.73,1.73
2024-12-12 19:00:00,1.53,1.53,1.53,1.53
2024-12-12 20:00:00,1.34,1.34,1.34,1.34
2024-12-12 21:00:00,1.18,1.18,1.18,1.18
2024-12-12 22:00:00,1.07,1.07,1.07,1.07
2024-12-12 23:00:00,1.0,1.0,1.0,1.0
