tick,datetime,agent_id,agent_uid_rank,meet_count,in_office,pt
1.1,2022-08-01 01:06:00,0,0,0,False,[82 36  0]
1.1,2022-08-01 01:06:00,1,0,0,False,[12 38  0]
1.1,2022-08-01 01:06:00,2,0,0,False,[77  3  0]
1.1,2022-08-01 01:06:00,3,0,0,False,[88 32  0]
1.1,2022-08-01 01:06:00,4,0,0,False,[60 11  0]
1.1,2022-08-01 01:06:00,5,0,0,False,[77 22  0]
1.1,2022-08-01 01:06:00,6,0,0,False,[79 40  0]
1.1,2022-08-01 01:06:00,7,0,0,False,[60 27  0]
1.1,2022-08-01 01:06:00,8,0,0,False,[48  0  0]
1.1,2022-08-01 01:06:00,9,0,0,False,[63  0  0]
1.1,2022-08-01 01:06:00,10,0,0,False,[85 18  0]
1.1,2022-08-01 01:06:00,11,0,0,False,[62 45  0]
1.1,2022-08-01 01:06:00,12,0,0,False,[90 12  0]
1.1,2022-08-01 01:06:00,13,0,0,False,[29 23  0]
1.1,2022-08-01 01:06:00,14,0,0,False,[42  6  0]
2.1,2022-08-01 02:06:00,0,0,0,False,[81 35  0]
2.1,2022-08-01 02:06:00,1,0,0,False,[11 39  0]
2.1,2022-08-01 02:06:00,2,0,0,False,[78  2  0]
2.1,2022-08-01 02:06:00,3,0,0,False,[89 33  0]
2.1,2022-08-01 02:06:00,4,0,0,False,[59 12  0]
2.1,2022-08-01 02:06:00,5,0,0,False,[76 23  0]
2.1,2022-08-01 02:06:00,6,0,0,False,[80 39  0]
2.1,2022-08-01 02:06:00,7,0,0,False,[59 28  0]
2.1,2022-08-01 02:06:00,8,0,0,False,[47  1  0]
2.1,2022-08-01 02:06:00,9,0,0,False,[64  1  0]
2.1,2022-08-01 02:06:00,10,0,0,False,[86 17  0]
2.1,2022-08-01 02:06:00,11,0,0,False,[61 44  0]
2.1,2022-08-01 02:06:00,12,0,0,False,[89 11  0]
2.1,2022-08-01 02:06:00,13,0,0,False,[30 22  0]
2.1,2022-08-01 02:06:00,14,0,0,False,[43  7  0]
3.1,2022-08-01 03:06:00,0,0,0,False,[82 36  0]
3.1,2022-08-01 03:06:00,1,0,0,False,[10 40  0]
3.1,2022-08-01 03:06:00,2,0,0,False,[77  1  0]
3.1,2022-08-01 03:06:00,3,0,0,False,[90 32  0]
3.1,2022-08-01 03:06:00,4,0,0,False,[58 11  0]
3.1,2022-08-01 03:06:00,5,0,0,False,[77 22  0]
3.1,2022-08-01 03:06:00,6,0,0,False,[79 38  0]
3.1,2022-08-01 03:06:00,7,0,0,False,[60 27  0]
3.1,2022-08-01 03:06:00,8,0,0,False,[46  0  0]
3.1,2022-08-01 03:06:00,9,0,0,False,[65  2  0]
3.1,2022-08-01 03:06:00,10,0,0,False,[87 16  0]
3.1,2022-08-01 03:06:00,11,0,0,False,[60 45  0]
3.1,2022-08-01 03:06:00,12,0,0,False,[90 12  0]
3.1,2022-08-01 03:06:00,13,0,0,False,[29 21  0]
3.1,2022-08-01 03:06:00,14,0,0,False,[44  8  0]
4.1,2022-08-01 04:06:00,0,0,0,False,[81 37  0]
4.1,2022-08-01 04:06:00,1,0,0,False,[11 39  0]
4.1,2022-08-01 04:06:00,2,0,0,False,[78  0  0]
4.1,2022-08-01 04:06:00,3,0,0,False,[89 33  0]
4.1,2022-08-01 04:06:00,4,0,0,False,[59 10  0]
4.1,2022-08-01 04:06:00,5,0,0,False,[78 21  0]
4.1,2022-08-01 04:06:00,6,0,0,False,[80 37  0]
4.1,2022-08-01 04:06:00,7,0,0,False,[61 28  0]
4.1,2022-08-01 04:06:00,8,0,0,False,[47  1  0]
4.1,2022-08-01 04:06:00,9,0,0,False,[64  3  0]
4.1,2022-08-01 04:06:00,10,0,0,False,[86 17  0]
4.1,2022-08-01 04:06:00,11,0,0,False,[61 44  0]
4.1,2022-08-01 04:06:00,12,0,0,False,[91 13  0]
4.1,2022-08-01 04:06:00,13,0,0,False,[28 20  0]
4.1,2022-08-01 04:06:00,14,0,0,False,[43  7  0]
5.1,2022-08-01 05:06:00,0,0,0,False,[80 38  0]
5.1,2022-08-01 05:06:00,1,0,0,False,[12 38  0]
5.1,2022-08-01 05:06:00,2,0,0,False,[79  1  0]
5.1,2022-08-01 05:06:00,3,0,0,False,[88 34  0]
5.1,2022-08-01 05:06:00,4,0,0,False,[60 11  0]
5.1,2022-08-01 05:06:00,5,0,0,False,[79 22  0]
5.1,2022-08-01 05:06:00,6,0,0,False,[79 38  0]
5.1,2022-08-01 05:06:00,7,0,0,False,[62 27  0]
5.1,2022-08-01 05:06:00,8,0,0,False,[48  0  0]
5.1,2022-08-01 05:06:00,9,0,0,False,[63  2  0]
5.1,2022-08-01 05:06:00,10,0,0,False,[87 16  0]
5.1,2022-08-01 05:06:00,11,0,0,False,[60 43  0]
5.1,2022-08-01 05:06:00,12,0,0,False,[92 14  0]
5.1,2022-08-01 05:06:00,13,0,0,False,[27 19  0]
5.1,2022-08-01 05:06:00,14,0,0,False,[44  6  0]
6.1,2022-08-01 06:06:00,0,0,0,False,[81 37  0]
6.1,2022-08-01 06:06:00,1,0,0,False,[13 37  0]
6.1,2022-08-01 06:06:00,2,0,0,False,[78  2  0]
6.1,2022-08-01 06:06:00,3,0,0,False,[87 35  0]
6.1,2022-08-01 06:06:00,4,0,0,False,[61 12  0]
6.1,2022-08-01 06:06:00,5,0,0,False,[80 23  0]
6.1,2022-08-01 06:06:00,6,0,0,False,[78 37  0]
6.1,2022-08-01 06:06:00,7,0,0,False,[61 28  0]
6.1,2022-08-01 06:06:00,8,0,0,False,[47  0  0]
6.1,2022-08-01 06:06:00,9,0,0,False,[62  1  0]
6.1,2022-08-01 06:06:00,10,0,0,False,[86 15  0]
6.1,2022-08-01 06:06:00,11,0,0,False,[61 44  0]
6.1,2022-08-01 06:06:00,12,0,0,False,[93 13  0]
6.1,2022-08-01 06:06:00,13,0,0,False,[28 18  0]
6.1,2022-08-01 06:06:00,14,0,0,False,[45  7  0]
7.1,2022-08-01 07:06:00,0,0,0,False,[82 36  0]
7.1,2022-08-01 07:06:00,1,0,0,False,[12 38  0]
7.1,2022-08-01 07:06:00,2,0,0,False,[77  1  0]
7.1,2022-08-01 07:06:00,3,0,0,False,[86 34  0]
7.1,2022-08-01 07:06:00,4,0,0,False,[60 11  0]
7.1,2022-08-01 07:06:00,5,0,0,False,[81 24  0]
7.1,2022-08-01 07:06:00,6,0,0,False,[79 36  0]
7.1,2022-08-01 07:06:00,7,0,0,False,[62 27  0]
7.1,2022-08-01 07:06:00,8,0,0,False,[46  0  0]
7.1,2022-08-01 07:06:00,9,0,0,False,[61  2  0]
7.1,2022-08-01 07:06:00,10,0,0,False,[85 16  0]
7.1,2022-08-01 07:06:00,11,0,0,False,[60 45  0]
7.1,2022-08-01 07:06:00,12,0,0,False,[92 12  0]
7.1,2022-08-01 07:06:00,13,0,0,False,[29 19  0]
7.1,2022-08-01 07:06:00,14,0,0,False,[44  8  0]
8.1,2022-08-01 08:06:00,0,0,0,False,[81 37  0]
8.1,2022-08-01 08:06:00,1,0,0,False,[13 37  0]
8.1,2022-08-01 08:06:00,2,0,0,True,[78  0  0]
8.1,2022-08-01 08:06:00,3,0,0,False,[85 33  0]
8.1,2022-08-01 08:06:00,4,0,0,False,[59 12  0]
8.1,2022-08-01 08:06:00,5,0,0,True,[80 23  0]
8.1,2022-08-01 08:06:00,6,0,0,False,[80 35  0]
8.1,2022-08-01 08:06:00,7,0,0,False,[63 26  0]
8.1,2022-08-01 08:06:00,8,0,0,True,[47  1  0]
8.1,2022-08-01 08:06:00,9,0,0,False,[62  1  0]
8.1,2022-08-01 08:06:00,10,0,0,False,[84 17  0]
8.1,2022-08-01 08:06:00,11,0,0,False,[59 46  0]
8.1,2022-08-01 08:06:00,12,0,0,False,[91 13  0]
8.1,2022-08-01 08:06:00,13,0,0,False,[30 18  0]
8.1,2022-08-01 08:06:00,14,0,0,False,[43  9  0]
9.1,2022-08-01 09:06:00,0,0,0,False,[80 38  0]
9.1,2022-08-01 09:06:00,1,0,0,False,[12 38  0]
9.1,2022-08-01 09:06:00,2,0,0,False,[79  0  0]
9.1,2022-08-01 09:06:00,3,0,0,False,[86 32  0]
9.1,2022-08-01 09:06:00,4,0,0,False,[60 11  0]
9.1,2022-08-01 09:06:00,5,0,0,True,[79 22  0]
9.1,2022-08-01 09:06:00,6,0,0,False,[79 34  0]
9.1,2022-08-01 09:06:00,7,0,0,True,[64 25  0]
9.1,2022-08-01 09:06:00,8,0,0,True,[48  0  0]
9.1,2022-08-01 09:06:00,9,0,0,False,[61  2  0]
9.1,2022-08-01 09:06:00,10,0,0,False,[85 16  0]
9.1,2022-08-01 09:06:00,11,0,0,False,[58 47  0]
9.1,2022-08-01 09:06:00,12,0,0,True,[92 14  0]
9.1,2022-08-01 09:06:00,13,0,0,True,[29 17  0]
9.1,2022-08-01 09:06:00,14,0,0,True,[44 10  0]
10.1,2022-08-01 10:06:00,0,0,0,False,[79 37  0]
10.1,2022-08-01 10:06:00,1,0,0,False,[11 39  0]
10.1,2022-08-01 10:06:00,2,0,0,False,[78  0  0]
10.1,2022-08-01 10:06:00,3,0,0,False,[85 33  0]
10.1,2022-08-01 10:06:00,4,0,0,False,[59 10  0]
10.1,2022-08-01 10:06:00,5,0,0,False,[78 21  0]
10.1,2022-08-01 10:06:00,6,0,0,False,[80 33  0]
10.1,2022-08-01 10:06:00,7,0,0,True,[63 26  0]
10.1,2022-08-01 10:06:00,8,0,0,False,[47  1  0]
10.1,2022-08-01 10:06:00,9,0,0,False,[62  1  0]
10.1,2022-08-01 10:06:00,10,0,0,True,[86 15  0]
10.1,2022-08-01 10:06:00,11,0,0,False,[59 46  0]
10.1,2022-08-01 10:06:00,12,0,0,False,[93 15  0]
10.1,2022-08-01 10:06:00,13,0,0,False,[30 16  0]
10.1,2022-08-01 10:06:00,14,0,0,False,[43  9  0]
11.1,2022-08-01 11:06:00,0,0,0,False,[78 38  0]
11.1,2022-08-01 11:06:00,1,0,0,False,[10 40  0]
11.1,2022-08-01 11:06:00,2,0,0,True,[79  0  0]
11.1,2022-08-01 11:06:00,3,0,0,False,[84 34  0]
11.1,2022-08-01 11:06:00,4,0,0,False,[58  9  0]
11.1,2022-08-01 11:06:00,5,0,0,False,[79 22  0]
11.1,2022-08-01 11:06:00,6,0,0,False,[79 32  0]
11.1,2022-08-01 11:06:00,7,0,0,False,[62 27  0]
11.1,2022-08-01 11:06:00,8,0,0,True,[48  2  0]
11.1,2022-08-01 11:06:00,9,0,0,False,[63  2  0]
11.1,2022-08-01 11:06:00,10,0,0,False,[85 14  0]
11.1,2022-08-01 11:06:00,11,0,0,True,[60 47  0]
11.1,2022-08-01 11:06:00,12,0,0,False,[94 14  0]
11.1,2022-08-01 11:06:00,13,0,0,False,[29 15  0]
11.1,2022-08-01 11:06:00,14,0,0,False,[42 10  0]
12.1,2022-08-01 12:06:00,0,0,0,False,[79 37  0]
12.1,2022-08-01 12:06:00,1,0,0,False,[ 9 41  0]
12.1,2022-08-01 12:06:00,2,0,0,False,[78  1  0]
12.1,2022-08-01 12:06:00,3,0,0,True,[85 33  0]
12.1,2022-08-01 12:06:00,4,0,0,False,[57 10  0]
12.1,2022-08-01 12:06:00,5,0,0,False,[80 21  0]
12.1,2022-08-01 12:06:00,6,0,0,True,[80 33  0]
12.1,2022-08-01 12:06:00,7,0,0,True,[63 26  0]
12.1,2022-08-01 12:06:00,8,0,0,False,[49  3  0]
12.1,2022-08-01 12:06:00,9,0,0,False,[62  1  0]
12.1,2022-08-01 12:06:00,10,0,0,False,[86 13  0]
12.1,2022-08-01 12:06:00,11,0,0,False,[59 46  0]
12.1,2022-08-01 12:06:00,12,0,0,False,[95 15  0]
12.1,2022-08-01 12:06:00,13,0,0,False,[28 16  0]
12.1,2022-08-01 12:06:00,14,0,0,False,[41 11  0]
13.1,2022-08-01 13:06:00,0,0,0,False,[80 38  0]
13.1,2022-08-01 13:06:00,1,0,0,False,[ 8 42  0]
13.1,2022-08-01 13:06:00,2,0,0,False,[77  2  0]
13.1,2022-08-01 13:06:00,3,0,0,False,[84 32  0]
13.1,2022-08-01 13:06:00,4,0,0,True,[56 11  0]
13.1,2022-08-01 13:06:00,5,0,0,False,[79 22  0]
13.1,2022-08-01 13:06:00,6,0,0,True,[79 32  0]
13.1,2022-08-01 13:06:00,7,0,0,False,[64 25  0]
13.1,2022-08-01 13:06:00,8,0,0,False,[50  4  0]
13.1,2022-08-01 13:06:00,9,0,0,False,[61  0  0]
13.1,2022-08-01 13:06:00,10,0,0,False,[85 14  0]
13.1,2022-08-01 13:06:00,11,0,0,True,[60 45  0]
13.1,2022-08-01 13:06:00,12,0,0,False,[94 14  0]
13.1,2022-08-01 13:06:00,13,0,0,False,[27 17  0]
13.1,2022-08-01 13:06:00,14,0,0,False,[42 10  0]
14.1,2022-08-01 14:06:00,0,0,0,False,[81 37  0]
14.1,2022-08-01 14:06:00,1,0,0,False,[ 7 43  0]
14.1,2022-08-01 14:06:00,2,0,0,False,[78  3  0]
14.1,2022-08-01 14:06:00,3,0,0,False,[83 31  0]
14.1,2022-08-01 14:06:00,4,0,0,True,[55 10  0]
14.1,2022-08-01 14:06:00,5,0,0,False,[80 23  0]
14.1,2022-08-01 14:06:00,6,0,0,False,[78 33  0]
14.1,2022-08-01 14:06:00,7,0,0,True,[63 26  0]
14.1,2022-08-01 14:06:00,8,0,0,False,[49  3  0]
14.1,2022-08-01 14:06:00,9,0,0,False,[62  0  0]
14.1,2022-08-01 14:06:00,10,0,0,False,[84 13  0]
14.1,2022-08-01 14:06:00,11,0,0,True,[59 44  0]
14.1,2022-08-01 14:06:00,12,0,0,False,[93 15  0]
14.1,2022-08-01 14:06:00,13,0,0,False,[28 16  0]
14.1,2022-08-01 14:06:00,14,0,0,False,[41 11  0]
15.1,2022-08-01 15:06:00,0,0,0,False,[82 38  0]
15.1,2022-08-01 15:06:00,1,0,0,False,[ 8 44  0]
15.1,2022-08-01 15:06:00,2,0,0,False,[77  2  0]
15.1,2022-08-01 15:06:00,3,0,0,False,[84 32  0]
15.1,2022-08-01 15:06:00,4,0,0,False,[54 11  0]
15.1,2022-08-01 15:06:00,5,0,0,False,[79 24  0]
15.1,2022-08-01 15:06:00,6,0,0,False,[79 32  0]
15.1,2022-08-01 15:06:00,7,0,0,False,[62 25  0]
15.1,2022-08-01 15:06:00,8,0,0,False,[50  4  0]
15.1,2022-08-01 15:06:00,9,0,0,False,[61  0  0]
15.1,2022-08-01 15:06:00,10,0,0,False,[85 12  0]
15.1,2022-08-01 15:06:00,11,0,0,False,[58 43  0]
15.1,2022-08-01 15:06:00,12,0,0,False,[94 16  0]
15.1,2022-08-01 15:06:00,13,0,0,False,[27 17  0]
15.1,2022-08-01 15:06:00,14,0,0,False,[42 10  0]
16.1,2022-08-01 16:06:00,0,0,0,False,[83 39  0]
16.1,2022-08-01 16:06:00,1,0,0,False,[ 7 43  0]
16.1,2022-08-01 16:06:00,2,0,0,True,[78  3  0]
16.1,2022-08-01 16:06:00,3,0,0,False,[83 33  0]
16.1,2022-08-01 16:06:00,4,0,0,False,[55 10  0]
16.1,2022-08-01 16:06:00,5,0,0,False,[80 23  0]
16.1,2022-08-01 16:06:00,6,0,0,False,[80 31  0]
16.1,2022-08-01 16:06:00,7,0,0,False,[61 26  0]
16.1,2022-08-01 16:06:00,8,0,0,False,[49  5  0]
16.1,2022-08-01 16:06:00,9,0,0,False,[60  1  0]
16.1,2022-08-01 16:06:00,10,0,0,False,[86 13  0]
16.1,2022-08-01 16:06:00,11,0,0,False,[57 42  0]
16.1,2022-08-01 16:06:00,12,0,0,False,[95 17  0]
16.1,2022-08-01 16:06:00,13,0,0,False,[28 16  0]
16.1,2022-08-01 16:06:00,14,0,0,False,[43  9  0]
17.1,2022-08-01 17:06:00,0,0,0,False,[82 40  0]
17.1,2022-08-01 17:06:00,1,0,0,False,[ 6 44  0]
17.1,2022-08-01 17:06:00,2,0,0,False,[77  2  0]
17.1,2022-08-01 17:06:00,3,0,0,False,[82 34  0]
17.1,2022-08-01 17:06:00,4,0,0,False,[56 11  0]
17.1,2022-08-01 17:06:00,5,0,0,False,[81 24  0]
17.1,2022-08-01 17:06:00,6,0,0,False,[81 32  0]
17.1,2022-08-01 17:06:00,7,0,0,False,[60 25  0]
17.1,2022-08-01 17:06:00,8,0,0,False,[48  4  0]
17.1,2022-08-01 17:06:00,9,0,0,False,[61  0  0]
17.1,2022-08-01 17:06:00,10,0,0,False,[85 14  0]
17.1,2022-08-01 17:06:00,11,0,0,False,[58 43  0]
17.1,2022-08-01 17:06:00,12,0,0,False,[94 16  0]
17.1,2022-08-01 17:06:00,13,0,0,False,[29 15  0]
17.1,2022-08-01 17:06:00,14,0,0,False,[42  8  0]
18.1,2022-08-01 18:06:00,0,0,0,False,[83 41  0]
18.1,2022-08-01 18:06:00,1,0,0,False,[ 7 45  0]
18.1,2022-08-01 18:06:00,2,0,0,False,[78  1  0]
18.1,2022-08-01 18:06:00,3,0,0,False,[83 33  0]
18.1,2022-08-01 18:06:00,4,0,0,False,[55 12  0]
18.1,2022-08-01 18:06:00,5,0,0,False,[80 23  0]
18.1,2022-08-01 18:06:00,6,0,0,False,[80 33  0]
18.1,2022-08-01 18:06:00,7,0,0,False,[59 24  0]
18.1,2022-08-01 18:06:00,8,0,0,False,[49  3  0]
18.1,2022-08-01 18:06:00,9,0,0,False,[62  1  0]
18.1,2022-08-01 18:06:00,10,0,0,False,[86 13  0]
18.1,2022-08-01 18:06:00,11,0,0,False,[57 42  0]
18.1,2022-08-01 18:06:00,12,0,0,False,[95 15  0]
18.1,2022-08-01 18:06:00,13,0,0,False,[28 14  0]
18.1,2022-08-01 18:06:00,14,0,0,False,[43  7  0]
19.1,2022-08-01 19:06:00,0,0,0,False,[84 40  0]
19.1,2022-08-01 19:06:00,1,0,0,False,[ 6 44  0]
19.1,2022-08-01 19:06:00,2,0,0,False,[79  0  0]
19.1,2022-08-01 19:06:00,3,0,0,False,[82 34  0]
19.1,2022-08-01 19:06:00,4,0,0,False,[56 13  0]
19.1,2022-08-01 19:06:00,5,0,0,False,[81 22  0]
19.1,2022-08-01 19:06:00,6,0,0,False,[81 32  0]
19.1,2022-08-01 19:06:00,7,0,0,False,[60 25  0]
19.1,2022-08-01 19:06:00,8,0,0,False,[50  4  0]
19.1,2022-08-01 19:06:00,9,0,0,False,[63  2  0]
19.1,2022-08-01 19:06:00,10,0,0,False,[87 12  0]
19.1,2022-08-01 19:06:00,11,0,0,False,[56 41  0]
19.1,2022-08-01 19:06:00,12,0,0,False,[96 14  0]
19.1,2022-08-01 19:06:00,13,0,0,False,[27 13  0]
19.1,2022-08-01 19:06:00,14,0,0,False,[44  8  0]
20.1,2022-08-01 20:06:00,0,0,0,False,[85 39  0]
20.1,2022-08-01 20:06:00,1,0,0,False,[ 5 43  0]
20.1,2022-08-01 20:06:00,2,0,0,False,[78  0  0]
20.1,2022-08-01 20:06:00,3,0,0,False,[83 35  0]
20.1,2022-08-01 20:06:00,4,0,0,False,[57 12  0]
20.1,2022-08-01 20:06:00,5,0,0,False,[80 23  0]
20.1,2022-08-01 20:06:00,6,0,0,False,[80 31  0]
20.1,2022-08-01 20:06:00,7,0,0,False,[59 26  0]
20.1,2022-08-01 20:06:00,8,0,0,False,[51  3  0]
20.1,2022-08-01 20:06:00,9,0,0,False,[64  3  0]
20.1,2022-08-01 20:06:00,10,0,0,False,[88 13  0]
20.1,2022-08-01 20:06:00,11,0,0,False,[55 42  0]
20.1,2022-08-01 20:06:00,12,0,0,False,[95 15  0]
20.1,2022-08-01 20:06:00,13,0,0,False,[28 14  0]
20.1,2022-08-01 20:06:00,14,0,0,False,[45  9  0]
21.1,2022-08-01 21:06:00,0,0,0,False,[86 40  0]
21.1,2022-08-01 21:06:00,1,0,0,False,[ 6 42  0]
21.1,2022-08-01 21:06:00,2,0,0,False,[79  1  0]
21.1,2022-08-01 21:06:00,3,0,0,False,[82 36  0]
21.1,2022-08-01 21:06:00,4,0,0,False,[58 13  0]
21.1,2022-08-01 21:06:00,5,0,0,False,[81 22  0]
21.1,2022-08-01 21:06:00,6,0,0,False,[81 30  0]
21.1,2022-08-01 21:06:00,7,0,0,False,[60 27  0]
21.1,2022-08-01 21:06:00,8,0,0,False,[50  2  0]
21.1,2022-08-01 21:06:00,9,0,0,False,[63  2  0]
21.1,2022-08-01 21:06:00,10,0,0,False,[87 12  0]
21.1,2022-08-01 21:06:00,11,0,0,False,[54 41  0]
21.1,2022-08-01 21:06:00,12,0,0,False,[96 14  0]
21.1,2022-08-01 21:06:00,13,0,0,False,[27 13  0]
21.1,2022-08-01 21:06:00,14,0,0,False,[46  8  0]
22.1,2022-08-01 22:06:00,0,0,0,False,[87 39  0]
22.1,2022-08-01 22:06:00,1,0,0,False,[ 5 41  0]
22.1,2022-08-01 22:06:00,2,0,0,False,[78  2  0]
22.1,2022-08-01 22:06:00,3,0,0,False,[81 35  0]
22.1,2022-08-01 22:06:00,4,0,0,False,[59 14  0]
22.1,2022-08-01 22:06:00,5,0,0,False,[82 23  0]
22.1,2022-08-01 22:06:00,6,0,0,False,[82 29  0]
22.1,2022-08-01 22:06:00,7,0,0,False,[61 26  0]
22.1,2022-08-01 22:06:00,8,0,0,False,[49  3  0]
22.1,2022-08-01 22:06:00,9,0,0,False,[64  3  0]
22.1,2022-08-01 22:06:00,10,0,0,False,[86 13  0]
22.1,2022-08-01 22:06:00,11,0,0,False,[53 42  0]
22.1,2022-08-01 22:06:00,12,0,0,False,[97 15  0]
22.1,2022-08-01 22:06:00,13,0,0,False,[28 14  0]
22.1,2022-08-01 22:06:00,14,0,0,False,[45  7  0]
23.1,2022-08-01 23:06:00,0,0,0,False,[86 40  0]
23.1,2022-08-01 23:06:00,1,0,0,False,[ 4 40  0]
