Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),THERMAL ZONE 1:Zone People Occupant Count [](Hourly),THERMAL ZONE 1:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),THERMAL ZONE 1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer Clothes Not Comfortable Time [hr](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) 
 07/01  01:00:00,21.133333333333333,0.0,0.0,0.0,23.283485390828236,26.0,0.0,0.0 
 07/01  02:00:00,19.241666666666667,0.0,0.0,0.0,23.059830731010504,26.0,0.0,0.0 
 07/01  03:00:00,19.258333333333333,0.0,0.0,0.0,22.857049914558548,26.0,0.0,0.0 
 07/01  04:00:00,19.416666666666668,0.0,0.0,0.0,22.657888811297042,26.0,0.0,0.0 
 07/01  05:00:00,19.850000000000005,6.999999999999999,5.666666666666667,0.0,22.46312566349788,26.0,0.0,0.0 
 07/01  06:00:00,20.625,45.666666666666664,26.666666666666668,0.0,22.32613018825316,26.0,0.0,0.0 
 07/01  07:00:00,20.416666666666668,95.75,10.583333333333334,0.0,22.23356414635506,26.0,0.0,0.0 
 07/01  08:00:00,20.816666666666666,178.33333333333334,15.333333333333334,0.0,22.202422132945454,26.0,0.0,0.0 
 07/01  09:00:00,22.333333333333332,263.4166666666667,21.0,0.0,20.881901756875923,21.0,0.0,275.2958321395724 
 07/01  10:00:00,23.758333333333336,343.8333333333333,29.416666666666668,0.0,20.999999997168118,21.0,0.0,241.52612514973393 
 07/01  11:00:00,24.825,429.4166666666667,76.0,0.0,21.473740359341658,21.5,0.0,140.60324620944442 
 07/01  12:00:00,25.724999999999998,451.0833333333333,212.41666666666666,3.0,21.499999999998565,21.5,0.9999999999999999,207.98253010754453 
 07/01  13:00:00,27.675,376.5,413.9166666666667,3.0,19.98805304663018,20.0,0.9999999999999999,594.6591281957702 
 07/01  14:00:00,29.325,323.3333333333333,503.25,3.0,19.999999999996906,20.0,0.9999999999999999,506.7992560537538 
 07/01  15:00:00,30.400000000000002,249.0,604.0833333333334,3.0,20.0,20.0,0.9999999999999999,491.45122721988645 
 07/01  16:00:00,31.25,176.08333333333334,690.9166666666666,3.0,19.999999999999996,20.0,0.9999999999999999,497.523775228917 
 07/01  17:00:00,31.325,174.58333333333334,580.5,3.0,20.0,20.0,0.9999999999999999,569.8659467780412 
 07/01  18:00:00,31.083333333333332,164.33333333333334,432.6666666666667,0.0,20.0,20.0,0.0,665.8453894273771 
 07/01  19:00:00,31.0,119.0,307.25000000000006,0.0,22.235822471056164,25.0,0.0,0.0 
 07/01  20:00:00,30.766666666666666,58.083333333333336,93.66666666666667,0.0,23.762760477845816,25.0,0.0,0.0 
 07/01  21:00:00,29.258333333333336,0.0,0.0,0.0,23.707966930534397,25.0,0.0,0.0 
 07/01  22:00:00,26.78333333333333,0.0,0.0,0.0,23.627055818297137,25.0,0.0,0.0 
 07/01  23:00:00,25.058333333333334,0.0,0.0,0.0,23.561886939063328,25.0,0.0,0.0 
 07/01  24:00:00,24.075,0.0,0.0,0.0,23.47886439007309,25.0,0.0,0.0 
 07/02  01:00:00,23.583333333333332,0.0,0.0,0.0,21.864537667698595,22.0,0.0,293.9142002062538 
 07/02  02:00:00,23.150000000000002,0.0,0.0,0.0,21.99999999838241,22.0,0.0,180.00919487666792 
 07/02  03:00:00,22.666666666666668,0.0,0.0,0.0,22.0,22.0,0.0,127.24282644619336 
 07/02  04:00:00,22.38333333333334,0.0,0.0,0.0,22.0,22.0,0.0,88.54492226919093 
 07/02  05:00:00,22.24166666666667,4.499999999999999,39.166666666666664,0.0,22.0,22.0,0.0,60.073705620885626 
 07/02  06:00:00,22.025000000000002,31.75,268.0833333333333,0.0,22.0,22.0,0.0,52.19364114861842 
 07/02  07:00:00,22.600000000000005,70.33333333333333,540.1666666666666,0.0,22.0,22.0,0.0,50.94971679041424 
 07/02  08:00:00,24.5,98.58333333333333,650.4166666666666,0.0,22.0,22.0,0.0,74.26891725131334 
 07/02  09:00:00,27.775000000000002,119.0,725.5833333333334,0.0,22.0,22.0,0.0,116.83954082379007 
 07/02  10:00:00,31.09166666666667,150.25,738.3333333333334,0.0,22.0,22.0,0.0,168.69995662450776 
 07/02  11:00:00,31.775000000000002,217.58333333333334,656.0833333333334,0.0,22.0,22.0,0.0,210.70010010984126 
 07/02  12:00:00,32.916666666666664,348.6666666666667,442.8333333333333,0.0,22.0,22.0,0.0,266.1413546876244 
 07/02  13:00:00,34.23333333333334,475.25,184.75,0.0,22.0,22.0,0.0,337.00695901558515 
 07/02  14:00:00,35.041666666666664,473.0833333333333,62.333333333333336,0.0,22.0,22.0,0.0,391.7879624860563 
 07/02  15:00:00,35.73333333333334,410.0,28.166666666666668,0.0,22.0,22.0,0.0,429.4864736262006 
 07/02  16:00:00,35.84166666666667,342.3333333333333,20.5,0.0,22.0,22.0,0.0,452.89836091146213 
 07/02  17:00:00,35.391666666666666,282.4166666666667,25.083333333333332,0.0,22.0,22.0,0.0,473.3527935750017 
 07/02  18:00:00,34.458333333333336,211.66666666666666,30.25,0.0,22.0,22.0,0.0,487.467438158746 
 07/02  19:00:00,31.433333333333334,124.5,19.5,0.0,22.0,22.0,0.0,474.6269456113113 
 07/02  20:00:00,26.333333333333332,42.833333333333336,5.75,0.0,22.0,22.0,0.0,422.2426555996794 
 07/02  21:00:00,24.116666666666664,0.0,0.0,0.0,22.0,22.0,0.0,328.03173966703616 
 07/02  22:00:00,24.200000000000003,0.0,0.0,0.0,22.0,22.0,0.0,295.4281759046024 
 07/02  23:00:00,24.083333333333332,0.0,0.0,0.0,22.0,22.0,0.0,271.8959706375402 
 07/02  24:00:00,24.058333333333334,0.0,0.0,0.0,22.0,22.0,0.0,246.2831681826212 
 07/03  01:00:00,23.633333333333336,0.0,0.0,0.0,22.0,22.0,0.0,214.94823510585448 
 07/03  02:00:00,23.125,0.0,0.0,0.0,22.0,22.0,0.0,180.1662269344857 
 07/03  03:00:00,22.766666666666666,0.0,0.0,0.0,22.0,22.0,0.0,146.12999542271044 
 07/03  04:00:00,22.308333333333337,0.0,0.0,0.0,22.0,22.0,0.0,112.92536558718409 
 07/03  05:00:00,21.808333333333337,6.999999999999999,31.499999999999996,0.0,22.0,22.0,0.0,86.18852905176603 
 07/03  06:00:00,21.36666666666667,49.833333333333336,184.58333333333334,0.0,22.0,22.0,0.0,79.9450005606083 
 07/03  07:00:00,22.016666666666666,102.83333333333333,313.3333333333333,0.0,22.0,22.0,0.0,80.21405096098079 
 07/03  08:00:00,24.116666666666664,107.08333333333333,623.1666666666666,0.0,22.0,22.0,0.0,103.49557633828984 
 07/03  09:00:00,27.416666666666668,135.16666666666666,774.5833333333334,0.0,22.0,22.0,0.0,151.27157060149784 
 07/03  10:00:00,30.866666666666674,162.58333333333334,824.75,0.0,22.0,22.0,0.0,208.2093859672792 
 07/03  11:00:00,33.25,172.33333333333334,856.0,0.0,22.0,22.0,0.0,256.5790606003056 
 07/03  12:00:00,34.583333333333336,163.08333333333334,839.6666666666666,0.0,22.0,22.0,0.0,292.0534028097314 
 07/03  13:00:00,35.46666666666667,259.6666666666667,636.75,0.0,22.0,22.0,0.0,338.0064737638548 
 07/03  14:00:00,36.208333333333336,378.0833333333333,393.8333333333333,0.0,22.0,22.0,0.0,400.35267030660015 
 07/03  15:00:00,35.50833333333333,406.6666666666667,267.99999999999994,0.0,22.0,22.0,0.0,449.99930297867377 
 07/03  16:00:00,30.891666666666666,364.0833333333333,223.0,0.0,22.0,22.0,0.0,459.3981111367996 
 07/03  17:00:00,28.275000000000002,305.0833333333333,85.83333333333333,0.0,22.0,22.0,0.0,474.7587526196683 
 07/03  18:00:00,29.15833333333333,189.08333333333334,18.166666666666664,0.0,22.0,22.0,0.0,476.33425638553564 
 07/03  19:00:00,29.583333333333332,116.75,13.416666666666666,0.0,22.0,22.0,0.0,479.06452007677507 
 07/03  20:00:00,30.083333333333332,49.0,11.916666666666666,0.0,22.0,22.0,0.0,494.18762465048627 
